city,year,day,night,diurnal_range
dar,2005,32.696305824238756,21.906461291382264,10.789844532856492
dar,2010,33.16417498266229,22.803200107067692,10.360974875594597
dar,2015,33.333813531895274,22.67715479797061,10.656658733924665
dar,2020,32.195795014052685,22.75572692873918,9.440068085313506
dar,2025,29.797721721356357,23.60761309632444,6.190108625031918
sgp,2005,32.55441621663822,24.797785309210713,7.756630907427503
sgp,2010,33.181070298869486,25.001770233726795,8.17930006514269
sgp,2015,33.18702786641142,25.002522162522855,8.184505703888565
sgp,2020,33.60807312035549,25.302108367461383,8.30596475289411
sgp,2025,30.44729695809405,26.16645607317596,4.280840884918089
